Order Date,Agency Name,Payment Date,Payment Amount,Shipment Date,Product Category,ASIN,Product Title,UNSPSC,Brand Code,Brand,Manufacturer,Item model number,Part number,Product Condition,Listed PPU,Purchase PPU,Item Quantity,Item Subtotal,Item Shipping & Handling,Item Promotion,Item Tax,Item Net Total,Discount Program,Pricing Discount applied ($ off),Pricing Discount applied (% off),Seller Name
8/1/2017 0:00,AGRICULTURE DEPARTMENT OF,8/2/2017 0:00,11.99,8/2/2017 0:00,Wireless,B010RQWSE2,"Mpow Cell Phone Holder for Car, Windshield Long Arm Car Phone Mount with One Button Design and Anti-skid Base Car Holder for iPhone X/8/7/7P/6s/6P/5S, Galaxy S5/S6/S7/S8, Google, LG, Huawei and More",43191600,,,,,,New,14.99,11.99,1,11.99,0,,0,11.99,,,,Patozon
8/1/2017 0:00,AGRICULTURE DEPARTMENT OF,8/2/2017 0:00,20.95,8/2/2017 0:00,Home,B00TX3FQL8,"1x Motivational Self Positive Office Quotes Inspirational Success Teamwork Wall Silk Poster Art Prints for Big Room Hall Office 35.5x23.5"" (90x60cm) (008)",,,,,,,New,6.99,6.99,1,6.99,0,,0,6.99,,,,SMARTWALLSTATION
8/1/2017 0:00,AGRICULTURE DEPARTMENT OF,8/2/2017 0:00,20.95,8/2/2017 0:00,Home,B00TX3IXNQ,"1x Motivational Self Positive Office Quotes Inspirational Success Teamwork Wall Silk Poster Art Prints for Big Room Hall Office 35.5x23.5"" (90x60cm) (037)",60121001,,,,,,New,6.99,6.99,1,6.99,0,,0,6.99,,,,SMARTWALLSTATION
8/1/2017 0:00,AGRICULTURE DEPARTMENT OF,8/2/2017 0:00,20.95,8/2/2017 0:00,Home,B00TX3J8US,"1x Motivational Self Positive Office Quotes Inspirational Success Teamwork Wall Silk Poster Art Prints for Big Room Hall Office 35.5x23.5"" (90x60cm) (041)",,,,,,,New,6.99,6.97,1,6.97,0,,0,6.97,,,,SMARTWALLSTATION
8/1/2017 0:00,AGRICULTURE DEPARTMENT OF,8/2/2017 0:00,160.72,8/2/2017 0:00,Personal Computer,B00EZSUVHK,"ViewSonic VX2452MH 24"" 2ms 1080p Gaming Monitor HDMI, DVI, VGA",43211900,,,,,,New,245,139.99,1,139.99,0,,11.06,151.05,,,,Amazon.com
8/1/2017 0:00,AGRICULTURE DEPARTMENT OF,8/2/2017 0:00,160.72,8/2/2017 0:00,Speakers,B014I8SX4Y,"AmazonBasics High-Speed HDMI Cable, 6 Feet, 2-Pack",,,,,,,New,8.99,8.96,1,8.96,0,,0.71,9.67,,,,Amazon.com
8/1/2017 0:00,AGRICULTURE DEPARTMENT OF,,,,Personal Computer,B00BBLFXTU,Panasonic Docking station (CF-VEBC21U),43211602,,,,,,New,390,0,0,,,,,,,,,Amazon.com
8/1/2017 0:00,RECREATION & CONSERVATION FUNDING BOARD (WAS OUTDOOR RECREATION),8/2/2017 0:00,94.44,8/2/2017 0:00,Personal Computer,B00BIFNTMC,"Anker 2.4G Wireless Vertical Ergonomic Optical Mouse, 800 / 1200 /1600DPI, 5 Buttons - Black",43211708,,,,,,New,19.99,19.99,1,19.99,0,,1.76,21.75,,,,AnkerDirect
8/1/2017 0:00,RECREATION & CONSERVATION FUNDING BOARD (WAS OUTDOOR RECREATION),8/2/2017 0:00,94.44,8/2/2017 0:00,Office Product,B01KOVMFYI,"Key-Bak Sidekick Professional Heavy Duty Self Retracting ID Badge / Key Reel with Retractable Kevlar Cord, 24"" Black (2 Pack)",55121804,,,,,,New,12.99,12.99,1,12.99,0,,0,12.99,,,,Nassco
8/1/2017 0:00,RECREATION & CONSERVATION FUNDING BOARD (WAS OUTDOOR RECREATION),8/2/2017 0:00,94.44,8/2/2017 0:00,Speakers,B000J2EN4S,Belkin BE112230-08 12-Outlet Power Strip Surge Protector,43210000,,,,,,New,49.99,19.33,3,57.99,0,-3.12,4.83,59.7,,,,Amazon.com
8/1/2017 0:00,RECREATION & CONSERVATION FUNDING BOARD (WAS OUTDOOR RECREATION),8/1/2017 0:00,74.68,8/1/2017 0:00,Home Improvement,B0002YUX8I,"Master Lock Security Bar, Adjustable Door Security Bar, 265DCCSEN",30171500,,,,,,New,24.36,17.16,4,68.64,0,,6.04,74.68,,,,Amazon.com
8/1/2017 0:00,CONSOLIDATED TECHNOLOGY SERVICES,8/2/2017 0:00,26.2,8/2/2017 0:00,Wireless,B00361MT5E,Pro 9400 Series Battery,43191600,,,,,,New,22,19.95,1,19.95,6.25,,0,26.2,,,,iSave
8/1/2017 0:00,CORRECTIONS DEPARTMENT OF,8/1/2017 0:00,24.99,8/1/2017 0:00,Watch,B003IEGP9K,ProSource 18 Piece Sunglass Eyewear Eye Wear Display Tray Case Stand. Also great for Watches and Jewelry,56140000,,,,,,New,24.99,24.99,1,24.99,0,,0,24.99,,,,ProSourceStore
8/1/2017 0:00,CORRECTIONS DEPARTMENT OF,8/2/2017 0:00,243.86,8/2/2017 0:00,Book,890425558,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",55101500,,,,,,New,160,111.66,2,223.32,0,,20.54,243.86,,,,Amazon.com
8/1/2017 0:00,CORRECTIONS DEPARTMENT OF,8/2/2017 0:00,20.18,8/2/2017 0:00,Personal Computer,B0143RTB1E,SanDisk 16GB Class 10 SDHC UHS-I Up to 80MB/s Memory Card (SDSDUNC-016G-GN6IN),43202000,,,,,,New,19.99,9.3,2,18.6,0,,1.58,20.18,,,,Amazon.com
8/1/2017 0:00,CORRECTIONS DEPARTMENT OF,8/2/2017 0:00,33.14,8/2/2017 0:00,Automotive Parts and Accessories,B004GEWXP6,OE Replacement Ford Driver Side Hood Hinge Assembly (Partslink Number FO1236103),,,,,,,New,33.14,33.14,1,33.14,0,,0,33.14,,,,Overdrive Brands
8/1/2017 0:00,CORRECTIONS DEPARTMENT OF,8/21/2017 0:00,155.22,8/21/2017 0:00,Home,B01N0LQJN6,Honeywell HYF290B Quietset 8-Speed Whole-Room Tower Fan,52141703,,,,,,New,152.17,47.69,1,47.69,0,,4.05,51.74,,,,Amazon.com
8/1/2017 0:00,CORRECTIONS DEPARTMENT OF,8/21/2017 0:00,155.22,8/21/2017 0:00,Home,B01N0LQJN6,Honeywell HYF290B Quietset 8-Speed Whole-Room Tower Fan,52141703,,,,,,New,152.17,47.69,1,47.69,0,,4.05,51.74,,,,Amazon.com
8/1/2017 0:00,CORRECTIONS DEPARTMENT OF,8/21/2017 0:00,155.22,8/21/2017 0:00,Home,B01N0LQJN6,Honeywell HYF290B Quietset 8-Speed Whole-Room Tower Fan,52141703,,,,,,New,152.17,47.69,1,47.69,0,,4.05,51.74,,,,Amazon.com
8/1/2017 0:00,EMPLOYMENT SECURITY DEPARTMENT OF,8/6/2017 0:00,125.97,8/6/2017 0:00,CE,B00SSKWT4O,For 2400MP Replacement Projector Lamp with Housing for DELL Projector by Mogobe,45111602,,,,,,New,73.84,41.99,3,125.97,5.98,-5.98,0,125.97,,,,Mogobe
8/1/2017 0:00,ENTERPRISE SERVICES DEPARTMENT OF,8/2/2017 0:00,32.56,8/2/2017 0:00,Speakers,B01CRA11IU,HDMI Cable 10 FT (4K UHD HDMI 2.0 Ready) - Braided Cord - Ultra High Speed 18Gbps - Gold Plated Connectors - Ethernet & Audio Return - Video 4K 2160p HD 1080p 3D - Xbox PlayStation PS3 PS4 PC Apple TV,52161500,,,,,,New,34.99,12.99,1,12.99,0,,0,12.99,,,,SecurOMax
